Sign_Code,Proposed_Sound,Agreement_Score,Site,Transcription
t602,tt,4,Mallia,TA-[A602]
999m,mm,4,Zakros,[ ]-ME
999t,tt,4,Zakros,[ ]-TE
056nn,nnn,3,Haghia Triada,[AB056]-NI-NA
301w,nw,3,Iouktas,[A301]-WA
t709310,trr,3,Knossos,TE-[A7094]-[A310]
t602,tr,3,Mallia,TA-[A602]
999t,rt,3,Zakros,[ ]-TE
999t,bt,3,Zakros,[ ]-TE
999m,rm,3,Zakros,[ ]-ME
999t,it,3,Zakros,[ ]-TE
999t,nt,3,Zakros,[ ]-TE
999t,pt,3,Zakros,[ ]-TE
