Archaeological_Site,Total_Matches,Avg_Confidence
Knossos,75,1.1066666666666667
Haghia Triada,56,1.25
Zakros,55,1.5272727272727273
Mallia,22,1.5
Iouktas,20,1.25
Phaistos,19,1.0
Hagia Triada,4,1.25
Wa 1635-1848,4,1.25
Wc 3015b,4,1.25
Khania,1,1.0
MA Wc 5b,1,1.0
PH Wc 44,1,1.0
PH Zb 47,1,1.0
Palaikastro,1,1.0
Wc 3009b,1,1.0
Wc 3013,1,1.0
PH Wc 46,1,1.0
