Dictionary,Unique matches,Total words,Percentage
Anatolia,58,798,7.27
Hittite,12,1568,0.765
Luwian,74,294,25.2
Pre_Basque,58,226,25.7
Proto_Basque,49,190,25.8
Thracian,113,1470,7.69
Hamito_Semitic,120,2129,5.64
Albanian,148,3687,4.01
Egyptian,208,4325,4.81
Proto_Celtic,23,1557,1.48
