Table 1
Identical Matches,Dictionary Word,Linear A word,Frequency,Percentage(%)
mn,"[['mania'], ['man'], ['man'], '-', ['eman'], ['man'], ['main', 'man', 'manV', 'min', 'minV', 'mon', 'mun', 'mune']]","[[']MINA['], [']MINA['], [']MINA['], '-', [']MINA['], [']MINA['], [']MN[']]","[[1], [1], [1], ['-'], [1], [1], [1]]","[[[16.7], [16.7], [16.7], ['-'], [16.7], [16.7], [16.7]]]"
mr,"[['maria'], '-', '-', '-', '-', ['mara'], ['mar', 'mara', 'meri', 'mir', 'mori', 'mur']]","[['MURU', 'MARI', 'MARE', 'MARU'], '-', '-', '-', '-', ['MURU', 'MARI', 'MARE', 'MARU'], ['MR']]","[[1, 1, 1, 1], ['-'], ['-'], ['-'], ['-'], [1, 1, 1, 1], [4]]","[[[8.3, 8.3, 8.3, 8.3], ['-'], ['-'], ['-'], ['-'], [8.3, 8.3, 8.3, 8.3], [33.3]]]"
ms,"[['moas'], '-', '-', '-', '-', ['amus'], ['masi', 'mies', 'mos']]","[['MASI'], '-', '-', '-', '-', ['MASI'], ['MS']]","[[1], ['-'], ['-'], ['-'], ['-'], [1], [1]]","[[[33.3], ['-'], ['-'], ['-'], ['-'], [33.3], [33.3]]]"
myr,"[['myro'], '-', '-', '-', '-', '-', ['muyir', 'myir']]","[['MIYARU'], '-', '-', '-', '-', '-', ['MYR']]","[[2], ['-'], ['-'], ['-'], ['-'], ['-'], [3]]","[[[40.0], ['-'], ['-'], ['-'], ['-'], ['-'], [60.0]]]"
pr,"[['opra'], ['peri'], ['pari'], '-', '-', ['pir'], ['pair', 'par', 'para', 'paur', 'per', 'pir', 'pur']]","[['PARA'], ['PARA'], ['PARA'], '-', '-', ['PARA'], ['PR']]","[[2], [2], [2], ['-'], ['-'], [2], [5]]","[[[15.4], [15.4], [15.4], ['-'], ['-'], [15.4], [38.5]]]"
rs,"[['oros'], '-', '-', '-', '-', ['aries'], ['rVsV']]","[['RU-SA'], '-', '-', '-', '-', ['RU-SA'], ['RS']]","[[1], ['-'], ['-'], ['-'], ['-'], [1], [1]]","[[[33.3], ['-'], ['-'], ['-'], ['-'], [33.3], [33.3]]]"
ptks,"[['pataikios'], '-', '-', '-', '-', '-', '-']","[['PITAKESI', 'PITAKESE'], '-', '-', '-', '-', '-', '-']","[[1, 1], ['-'], ['-'], ['-'], ['-'], ['-'], ['-']]","[[[50.0, 50.0], ['-'], ['-'], ['-'], ['-'], ['-'], ['-']]]"
p,"[['paua'], ['apa'], '-', '-', '-', ['apa'], ['pa', 'pia', 'po']]","[['PI', ']PA', 'PU['], ['PI', ']PA', 'PU['], '-', '-', '-', ['PI', ']PA', 'PU['], [']P', 'P', 'P[']]","[[1, 1, 1], [1, 1, 1], ['-'], ['-'], ['-'], [1, 1, 1], [1, 1, 1]]","[[[8.3, 8.3, 8.3], [8.3, 8.3, 8.3], ['-'], ['-'], ['-'], [8.3, 8.3, 8.3], [8.3, 8.3, 8.3]]]"
tt,"[['tatia'], '-', '-', ['atta'], ['atta'], ['tuta'], ['tat', 'tata']]","[['TETU'], '-', '-', ['TETU'], ['TETU'], ['TETU'], ['TT']]","[[2], ['-'], ['-'], [2], [2], [2], [4]]","[[[16.7], ['-'], ['-'], [16.7], [16.7], [16.7], [33.3]]]"
y,"['-', ['ay'], '-', '-', '-', '-', ['oy', 'ya', 'yi']]","['-', ['[]YA[', 'YA[', ']YA'], '-', '-', '-', '-', ['Y']]","[['-'], [1, 1, 1], ['-'], ['-'], ['-'], ['-'], [2]]","[[['-'], [20.0, 20.0, 20.0], ['-'], ['-'], ['-'], ['-'], [40.0]]]"
