name,site,support,context,scribe,findspot,parsedInscription,transcription,translatedWords,transliteratedWords,words
"KH24","Khania","Tablet","LMIB","","","𐝫𐘲𐄐𐄈𐝫 𐝫𐝉 𐝫","𐝫𐘲𐄐𐄈𐝫 𐝫𐝈𐝉 𐝫","SU|12| |𐝫𐝉| |𐝫","SU|12| |𐝫𐝉| |𐝫","𐝫𐘲|𐄐𐄈𐝫| |𐝫𐝉| |𐝫"
"KH25","Khania","Tablet","LMIB","","","𐝫𐙇𐄙𐄓𐝫 𐝫𐙇𐄐𐝫 𐝫","𐝫𐙇𐄙𐄓𐝫 𐝫𐙇𐄐𐝫 𐝫","VIR+[?]|140| |VIR+[?]|10| |𐝫","VIR+[?]|140| |VIR+[?]|10| |𐝫","𐝫𐙇|𐄙𐄓𐝫| |𐝫𐙇|𐄐𐝫| |𐝫"
"KH26","Khania","Tablet","LMIB","","","𐝫 𐝫𐙇𐄕𐝫 𐝫𐘝𐄈𐝃𐝋 𐝫 𐝫 𐝫","𐝫 𐝫𐙇𐄕𐝫 𐘝𐄈𐝃𐝋𐝫 𐝫 𐝫","𐝫| |VIR+[?]|60| |figs|2|𐝃𐝋| |𐝫| |𐝫| |𐝫","𐝫| |VIR+[?]|60| |NI|2|𐝃𐝋| |𐝫| |𐝫| |𐝫","𐝫| |𐝫𐙇|𐄕𐝫| |𐝫𐘝|𐄈|𐝃𐝋| |𐝫| |𐝫| |𐝫"
"KH27","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫𐘝𐝫 𐝫𐛭𐄊𐝫","𐝫 𐝫𐘝𐝫 𐝫𐛭𐄊𐝫","𐝫| |figs| |grain|4","𐝫| |NI| |GRA+PA|4","𐝫| |𐝫𐘝𐝫| |𐝫𐛭|𐄊𐝫"
"KH28","Khania","Tablet","LMIB","KH Scribe 1","","𐝫 𐝫 𐝫𐘈𐄁𐛵𐝫","𐝫 𐝫 𐝫𐘈𐄁𐛵𐝫","𐝫| |𐝫| |SE|𐄁|grain","𐝫| |𐝫| |SE|𐄁|GRA+F","𐝫| |𐝫| |𐝫𐘈|𐄁|𐛵𐝫"
"KH29","Khania","Tablet","LMIB","KH Scribe 1","","𐝫𐘴𐄁𐘷𐝫 𐝫𐄇 𐙂𐘂𐝫 𐝫𐄈 𐙗𐝆𐝫 𐝫 𐝫","𐝫𐘴𐄁𐘷𐝫 𐝫𐄇𐙂𐘂𐝫 𐝫𐄈𐙗𐝆𐝫 𐝫 𐝫","RA|𐄁|TA₂| |1| |""transaction term?""| |2| |cyperus|¹⁄₂| |𐝫| |𐝫","RA|𐄁|TA₂| |1| |KU-PA| |2| |CYP|¹⁄₂| |𐝫| |𐝫","𐝫𐘴|𐄁|𐘷𐝫| |𐝫𐄇| |𐙂𐘂𐝫| |𐝫𐄈| |𐙗|𐝆𐝫| |𐝫| |𐝫"
"KH30","Khania","Tablet","LMIB","","","𐝫 𐝫𐝉𐝫 𐝫𐘝𐄏","𐝫 𐝫𐝉𐝫 𐝫𐘝𐄏","𐝫| |𐝫𐝉𐝫| |figs|9","𐝫| |𐝫𐝉𐝫| |NI|9","𐝫| |𐝫𐝉𐝫| |𐝫𐘝|𐄏"
"KH31","Khania","Tablet","LMIB","","","𐝫 𐝫𐜨 — 𐝫𐝆 𐜪𐝫 𐝫𐄇 𐝫","𐝫 𐝫𐜨 — 𐝫𐝆𐜪𐝫 𐝫𐄇 𐝫","𐝫| |*401+[ ]| |—| |¹⁄₂| |*401+RO| |1| |𐝫","𐝫| |*401+[ ]| |—| |¹⁄₂| |*401+RO| |1| |𐝫","𐝫| |𐝫𐜨| |—| |𐝫𐝆| |𐜪𐝫| |𐝫𐄇| |𐝫"
"KH32","Khania","Tablet","LMIB","","","𐘚𐙷𐝫 𐝫𐄋𐝫 𐝫","𐘚𐙷𐝫 𐝫𐄋𐝫 𐝫","I-*331| |5| |𐝫","I-*331| |5| |𐝫","𐘚𐙷𐝫| |𐝫𐄋𐝫| |𐝫"
"KH33","Khania","Tablet","LMIB","","","𐝫 𐝫𐜙𐝫 𐝫𐄇 𐘇𐝫 𐝫","𐝫 𐝫𐜙𐝫 𐝫𐄇𐘇𐝫 𐝫","𐝫| |cyperus| |1| |A| |𐝫","𐝫| |CYP+D| |1| |A| |𐝫","𐝫| |𐝫𐜙𐝫| |𐝫𐄇| |𐘇𐝫| |𐝫"
