name,site,support,context,scribe,findspot,parsedInscription,transcription,translatedWords,transliteratedWords,words
"HT1","Haghia Triada","Tablet","LMIB","HT Scribe 21","Portico 11 and Room 13","𐘿𐘽𐘉𐄁 𐘸𐘁𐄙𐄘𐄍 𐙀𐘲𐄖 𐘆𐘆𐘍𐘥𐄔𐄈 𐙂𐘰𐘯𐄙𐄏 𐘇𐘴𐘅𐘙𐄙𐄋","𐘿𐘽𐘉𐄁𐘸𐘁𐄙𐄘 𐄍𐙀𐘲𐄖𐘆𐘆 𐘍𐘥𐄔𐄈𐙂𐘰𐘯𐄙 𐄏𐘇𐘴𐘅𐘙𐄙𐄋","QE-RA₂-U|𐄁| |""owed""|197| |ZU-SU|70| |DI-DI-ZA-KE|52| |KU-PA₃-NU|109| |A-RA-NA-RE|105","QE-RA₂-U|𐄁| |KI-RO|197| |ZU-SU|70| |DI-DI-ZA-KE|52| |KU-PA₃-NU|109| |A-RA-NA-RE|105","𐘿𐘽𐘉|𐄁| |𐘸𐘁|𐄙𐄘𐄍| |𐙀𐘲|𐄖| |𐘆𐘆𐘍𐘥|𐄔𐄈| |𐙂𐘰𐘯|𐄙𐄏| |𐘇𐘴𐘅𐘙|𐄙𐄋"
"HT2","Haghia Triada","Tablet","LMIB","","Portico 11 and Room 13","𐘇𐘾𐘘𐄁𐜋𐄑𐝫 𐝫𐜊𐄐𐄍 𐜎𐄉𐝫 𐝫𐘸𐘙𐘳𐘅𐜋𐄔𐄊𐝫 𐝫𐜊𐄓𐄍 𐄇","𐘇𐘾𐘘𐄁𐜋𐄑𐝫 𐝫𐜊𐄐𐄍𐜎𐄉𐝫 𐝫𐘸𐘙𐘳𐘅𐜋𐄔𐄊𐝫 𐝫𐜊𐄓𐄍 𐄇","A-KA-RU|𐄁|olive oil|20| |olive oil|17| |olive oil|3| |KI-RE-TA-NA|olive oil|54| |olive oil|47| |1","A-KA-RU|𐄁|OLE+U|20| |OLE+A|17| |OLE+E|3| |KI-RE-TA-NA|OLE+U|54| |OLE+A|47| |1","𐘇𐘾𐘘|𐄁|𐜋|𐄑𐝫| |𐝫𐜊|𐄐𐄍| |𐜎|𐄉𐝫| |𐝫𐘸𐘙𐘳𐘅|𐜋|𐄔𐄊𐝫| |𐝫𐜊|𐄓𐄍| |𐄇"
"HT3","Haghia Triada","Tablet","LMIB","","Portico 11 and Room 13","𐝫 𐝫𐙁𐝫 𐝫𐘆𐘅𐝫𐄈 𐘿𐘽𐘱𐝫 𐝫𐄈 𐘆𐄈𐝫 𐝫𐄊 𐘕𐘘𐄇 𐘘𐝫 𐝫𐘤𐘹𐘽𐘙𐄋 𐘆𐝫 𐝫𐙂𐘰𐘯𐄉𐝫 𐝫𐙁𐘆𐄈𐝫 𐘀𐝫","𐝫 𐝫𐙁𐝫𐘆𐘅𐝫 𐝫𐄈𐘿𐘽𐘱𐝫 𐝫𐄈𐘆𐄈𐝫 𐄊𐘕𐘘𐄇𐘘𐝫 𐝫𐘤𐘹𐘽𐘙𐄋𐘆𐝫 𐝫𐙂𐘰𐘯𐄉𐝫 𐝫𐙁𐘆𐄈𐘀𐝫","𐝫| |MA| |DI-NA|2| |QE-RA₂-JA| |2| |DI|2| |4| |MU-RU|1| |RU| |SI-TU-RA₂-RE|5| |DI| |KU-PA₃-NU|3| |MA-DI|2| |DA","𐝫| |MA| |DI-NA|2| |QE-RA₂-JA| |2| |DI|2| |4| |MU-RU|1| |RU| |SI-TU-RA₂-RE|5| |DI| |KU-PA₃-NU|3| |MA-DI|2| |DA","𐝫| |𐝫𐙁𐝫| |𐝫𐘆𐘅𐝫|𐄈| |𐘿𐘽𐘱𐝫| |𐝫𐄈| |𐘆|𐄈𐝫| |𐝫𐄊| |𐘕𐘘|𐄇| |𐘘𐝫| |𐝫𐘤𐘹𐘽𐘙|𐄋| |𐘆𐝫| |𐝫𐙂𐘰𐘯|𐄉𐝫| |𐝫𐙁𐘆|𐄈𐝫| |𐘀𐝫"
"HT4","Haghia Triada","Tablet","LMIB","","Portico 11 and Room 13","𐝫 𐝫𐙚𐘠𐘾𐘇𐘙𐝫 𐝫𐘬𐘭𐘃𐄈 𐘂𐘙𐝫 𐝫𐘳𐘢𐘤𐘆𐄇","𐝫 𐝫𐙚𐘠𐘾𐘇𐘙 𐝫𐘬𐘭𐘃𐄈𐘂𐘙 𐝫𐘳𐘢𐘤𐘆𐄇","𐝫| |*306-TI-KA-A-RE| |DU-RI-TE|2| |PA-RE| |TA-PI-SI-DI|1","𐝫| |*306-TI-KA-A-RE| |DU-RI-TE|2| |PA-RE| |TA-PI-SI-DI|1","𐝫| |𐝫𐙚𐘠𐘾𐘇𐘙𐝫| |𐝫𐘬𐘭𐘃|𐄈| |𐘂𐘙𐝫| |𐝫𐘳𐘢𐘤𐘆|𐄇"
"HT5","Haghia Triada","Tablet","LMIB","HT Scribe 1","Portico 11 and Room 13","𐝫 𐝫𐙛𐝫 𐝫𐙁𐘤𐄒𐝫 𐝫𐘣𐘬𐄐𐝫 𐝫 𐝫","𐝫 𐝫𐙛𐝫 𐝫𐙁𐘤𐄒𐝫 𐝫𐘣𐘬𐄐𐝫 𐝫 𐝫","𐝫| |*307| |MA-SI|30| |WI-DU|10| |𐝫| |𐝫","𐝫| |*307| |MA-SI|30| |WI-DU|10| |𐝫| |𐝫","𐝫| |𐝫𐙛𐝫| |𐝫𐙁𐘤|𐄒𐝫| |𐝫𐘣𐘬|𐄐𐝫| |𐝫| |𐝫"
"HT6a","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘾𐘂𐄁 𐘀𐘳𐘴𐄁𐘃𐄁𐘝𐄐𐄋 𐘢𐘳𐘱𐄑𐄊 𐛑𐝓 𐙁𐙭𐄐 𐘵𐘽𐘆𐘗𐄈 𐘾𐘂𐘿𐄋𐝕 𐘀𐘿𐘴𐄁 𐘿𐘢𐘳𐄑𐄈𐝕 𐘝𐄐𐄋𐝆","𐘾𐘂𐄁𐘀𐘳𐘴 𐄁𐘃𐄁𐘝𐄐𐄋𐘢𐘳𐘱 𐄑𐄊𐛑𐝓𐙁𐙭 𐄐𐘵𐘽𐘆𐘗𐄈𐘾 𐘂𐘿𐄋𐝕 𐘀𐘿𐘴𐄁𐘿𐘢𐘳 𐄑𐄈𐝕𐘝𐄐𐄋𐝆","""summary account?""|𐄁| |DA-TA-RA|𐄁|TE|𐄁|figs|15| |PI-TA-JA|24| |JA+RU|𐝓| |MA-*321|10| |O-RA₂-DI-NE|2| |KA-PA-QE|5|³⁄₄| |DA-QE-RA|𐄁| |QE-PI-TA|22|³⁄₄| |figs|15|¹⁄₂","KA-PA|𐄁| |DA-TA-RA|𐄁|TE|𐄁|NI|15| |PI-TA-JA|24| |JA+RU|𐝓| |MA-*321|10| |O-RA₂-DI-NE|2| |KA-PA-QE|5|³⁄₄| |DA-QE-RA|𐄁| |QE-PI-TA|22|³⁄₄| |NI|15|¹⁄₂","𐘾𐘂|𐄁| |𐘀𐘳𐘴|𐄁|𐘃|𐄁|𐘝|𐄐𐄋| |𐘢𐘳𐘱|𐄑𐄊| |𐛑|𐝓| |𐙁𐙭|𐄐| |𐘵𐘽𐘆𐘗|𐄈| |𐘾𐘂𐘿|𐄋|𐝕| |𐘀𐘿𐘴|𐄁| |𐘿𐘢𐘳|𐄑𐄈|𐝕| |𐘝|𐄐𐄋|𐝆"
"HT6b","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘮𐘬𐘝𐘻𐄉𐝅 𐘴𐘠𐘈𐄇 𐙁𐘭𐘙𐘚𐄉 𐘬𐘀𐙁𐄕𐄌 𐘀𐘸𐄉𐝃 𐘞𐙁𐄒𐄋 𐘰𐘝𐘅𐄐𐄍𐝆","𐘮𐘬𐘝𐘻 𐄉𐝅𐝢𐘠𐘈𐄇𐙁 𐘭𐘙𐘚𐄉 𐘬𐘀𐙁𐄕𐄌 𐘀𐘸𐄉𐝃𐘞𐙁𐄒 𐄋𐘰𐘝𐘅𐄐𐄍𐝆","WA-DU-NI-MI|3|≈ ¹⁄₆| |RA-TI-SE|1| |MA-RI-RE-I|3| |DU-DA-MA|66| |DA-KI|3|¹⁄₄| |SA-MA|35| |PA₃-NI-NA|17|¹⁄₂","WA-DU-NI-MI|3|≈ ¹⁄₆| |RA-TI-SE|1| |MA-RI-RE-I|3| |DU-DA-MA|66| |DA-KI|3|¹⁄₄| |SA-MA|35| |PA₃-NI-NA|17|¹⁄₂","𐘮𐘬𐘝𐘻|𐄉|𐝅| |𐘴𐘠𐘈|𐄇| |𐙁𐘭𐘙𐘚|𐄉| |𐘬𐘀𐙁|𐄕𐄌| |𐘀𐘸|𐄉|𐝃| |𐘞𐙁|𐄒𐄋| |𐘰𐘝𐘅|𐄐𐄍|𐝆"
"HT7a","Haghia Triada","Tablet","LMIB","HT Scribe 11","Villa Magazine","𐘿𐘠𐄁𐙇 𐘚𐘘𐘱𐄉 𐘬𐘱𐄊 𐘳𐘅𐘠𐄇 𐘀𐘙𐄇 𐘃𐘹𐄇","𐘿𐘠𐄁𐙇 𐘚𐘘𐘱𐄉 𐘬𐘱𐄊 𐘳𐘅𐘠𐄇𐘀𐘙 𐄇𐘃𐘹𐄇","QE-TI|𐄁|VIR+[?]| |I-RU-JA|3| |DU-JA|4| |TA-NA-TI|1| |DA-RE|1| |TE-TU|1","QE-TI|𐄁|VIR+[?]| |I-RU-JA|3| |DU-JA|4| |TA-NA-TI|1| |DA-RE|1| |TE-TU|1","𐘿𐘠|𐄁|𐙇| |𐘚𐘘𐘱|𐄉| |𐘬𐘱|𐄊| |𐘳𐘅𐘠|𐄇| |𐘀𐘙|𐄇| |𐘃𐘹|𐄇"
"HT7b","Haghia Triada","Tablet","LMIB","HT Scribe 11","Villa Magazine","𐘐𐘹𐘗𐄇 𐘀𐘘𐙵𐄈","𐘐𐘹𐘗𐄇 𐘀𐘘𐙵𐄈","*21F-TU-NE|1| |DA-RU-*329|2","*21F-TU-NE|1| |DA-RU-*329|2","𐘐𐘹𐘗|𐄇| |𐘀𐘘𐙵|𐄈"
"HT8a","Haghia Triada","Tablet","LMIB","HT Scribe 2","Villa Magazine","𐘧𐘆𐜓𐄐 𐘰𐘾𐘴𐘠𐄇𐝆 𐘂𐄉𐝆 𐘃𐙕𐄈 𐘌𐙠𐘚𐝕 𐘤𐘸𐘴𐝃 𐘸𐘙𐘳𐘅𐝆","𐘧𐘆𐜓𐄐𐘰 𐘾𐘴𐘠𐄇𐝆𐘂𐄉𐝆 𐘃𐙕𐄈𐘌𐙠𐘚 𐝕𐘤𐘸𐘴𐝃 𐘸𐘙𐘳𐘅𐝆","JE-DI|olive oil|10| |PA₃-KA-RA-TI|1|¹⁄₂| |PA|3|¹⁄₂| |TE-*301|2| |QA-*310-I|³⁄₄| |SI-KI-RA|¹⁄₄| |KI-RE-TA-NA|¹⁄₂","JE-DI|OLE+KI|10| |PA₃-KA-RA-TI|1|¹⁄₂| |PA|3|¹⁄₂| |TE-*301|2| |QA-*310-I|³⁄₄| |SI-KI-RA|¹⁄₄| |KI-RE-TA-NA|¹⁄₂","𐘧𐘆|𐜓|𐄐| |𐘰𐘾𐘴𐘠|𐄇|𐝆| |𐘂|𐄉|𐝆| |𐘃𐙕|𐄈| |𐘌𐙠𐘚|𐝕| |𐘤𐘸𐘴|𐝃| |𐘸𐘙𐘳𐘅|𐝆"
"HT8b","Haghia Triada","Tablet","LMIB","HT Scribe 2","Villa Magazine","𐘲𐘜𐙓𐄇 — 𐄋 𐘰𐙓𐄈 𐘌𐙠𐘚𐄇𐝃𐝄 𐘾𐘂𐝆 𐘂𐘱𐘙𐄇𐝄 𐛥𐝆 𐝆","𐘲𐘜𐙓𐄇 — 𐄋𐘰𐙓𐄈𐘌𐙠 𐘚𐄇𐝃𐝄𐘾𐘂𐝆 𐘂𐘱𐘙𐄇𐝄𐛥𐝆 𐝆","SU-PU₂-*188|1| |—| |5| |PA₃-*188|2| |QA-*310-I|1|³⁄₈| |""summary account?""|¹⁄₂| |PA-JA-RE|1|¹⁄₈| |*86+'*188'|¹⁄₂| |¹⁄₂","SU-PU₂-*188|1| |—| |5| |PA₃-*188|2| |QA-*310-I|1|³⁄₈| |KA-PA|¹⁄₂| |PA-JA-RE|1|¹⁄₈| |*86+'*188'|¹⁄₂| |¹⁄₂","𐘲𐘜𐙓|𐄇| |—| |𐄋| |𐘰𐙓|𐄈| |𐘌𐙠𐘚|𐄇|𐝃𐝄| |𐘾𐘂|𐝆| |𐘂𐘱𐘙|𐄇|𐝄| |𐛥|𐝆| |𐝆"
"HT9a","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘞𐘁𐄁𐘃𐄁𐙍𐄁 𐘂𐘦𐄁𐄋𐝕 𐙚𐘹𐄐 𐘆𐘅𐘉𐄊 𐘿𐘫𐄈 𐙰𐘆𐘴𐄈𐝆 𐘳𐘚𐙌𐄈𐝆 𐘇𐘘𐄊𐝃 𐙂𐘁𐄒𐄇𐝕","𐘞𐘁𐄁𐘃𐄁𐙍𐄁 𐘂𐘦𐄁𐄋𐝕𐙚𐘹 𐄐𐘆𐘅𐘉𐄊𐘿𐘫 𐄈𐙰𐘆𐘴𐄈𐝆𐘳 𐘚𐙌𐄈𐝆𐘇𐘘 𐄊𐝃𐙂𐘁𐄒𐄇𐝆𐝃","SA-RO|𐄁|TE|𐄁|wine|𐄁| |PA-DE|𐄁|5|³⁄₄| |*306-TU|10| |DI-NA-U|4| |QE-PU|2| |*324-DI-RA|2|¹⁄₂| |TA-I-AROM|2|¹⁄₂| |A-RU|4|¹⁄₄| |""total""|31|³⁄₄","SA-RO|𐄁|TE|𐄁|VIN|𐄁| |PA-DE|𐄁|5|³⁄₄| |*306-TU|10| |DI-NA-U|4| |QE-PU|2| |*324-DI-RA|2|¹⁄₂| |TA-I-AROM|2|¹⁄₂| |A-RU|4|¹⁄₄| |KU-RO|31|³⁄₄","𐘞𐘁|𐄁|𐘃|𐄁|𐙍|𐄁| |𐘂𐘦|𐄁|𐄋|𐝕| |𐙚𐘹|𐄐| |𐘆𐘅𐘉|𐄊| |𐘿𐘫|𐄈| |𐙰𐘆𐘴|𐄈|𐝆| |𐘳𐘚𐙌|𐄈|𐝆| |𐘇𐘘|𐄊|𐝃| |𐙂𐘁|𐄒𐄇|𐝕"
"HT9b","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘰𐄁 𐘮𐘱𐘢𐝫 — 𐘾𐙙𐄁 𐘂𐘦𐄉 𐘇𐘤𐄉 𐙚𐘹𐄎 𐙰𐘆𐘴𐄈 𐘿𐘫𐄈 𐘳𐘚𐙌𐄈 𐘆𐘅𐘉𐄊 𐙂𐘁𐄑𐄊","𐘰𐄁𐘮𐘱𐘢𐝫 — 𐘾𐙙𐄁𐘂𐘦𐄉𐘇𐘤 𐄉𐙚𐘹𐄎𐙰𐘆𐘴𐄈 𐘿𐘫𐄈𐘳𐘚𐙌𐄈 𐘆𐘅𐘉𐄊 𐙂𐘁𐄑𐄊","PA₃|𐄁| |WA-JA-PI| |—| |KA-*305|𐄁| |PA-DE|3| |A-SI|3| |*306-TU|8| |*324-DI-RA|2| |QE-PU|2| |TA-I-AROM|2| |DI-NA-U|4| |""total""|24","PA₃|𐄁| |WA-JA-PI| |—| |KA-*305|𐄁| |PA-DE|3| |A-SI|3| |*306-TU|8| |*324-DI-RA|2| |QE-PU|2| |TA-I-AROM|2| |DI-NA-U|4| |KU-RO|24","𐘰|𐄁| |𐘮𐘱𐘢𐝫| |—| |𐘾𐙙|𐄁| |𐘂𐘦|𐄉| |𐘇𐘤|𐄉| |𐙚𐘹|𐄎| |𐙰𐘆𐘴|𐄈| |𐘿𐘫|𐄈| |𐘳𐘚𐙌|𐄈| |𐘆𐘅𐘉|𐄊| |𐙂𐘁|𐄑𐄊"
"HT10a","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐙂𐘝𐘲𐄁 𐘞𐙁𐄊 𐄁𐘂𐄁 𐘀𐘙𐄐𐄌𐝆 𐘉𐙱𐘍𐄊 𐙕𐄌 𐘉𐙱𐘍𐄐𐄊𐝫 𐙙𐘘𐄈𐝆 𐘀𐘭𐘀𐄎 𐘋𐘍𐄉","𐙂𐘝𐘲𐄁𐘞𐙁𐄊𐄁 𐘉𐙱𐘍𐄊 𐘂𐄁𐘀𐘙𐄐𐄌𐝆𐙕 𐄌𐘉𐙱𐘍𐄐𐄊𐝫𐙙𐘘 𐄈𐝆𐘀𐘭𐘀𐄎𐘋𐘍𐄉","Kunisu (a place)|𐄁| |SA-MA|4| |𐄁|PA|𐄁| |DA-RE|16|¹⁄₂| |U-*325-ZA|4| |*301|6| |U-*325-ZA|14| |*305-RU|2|¹⁄₂| |DA-RI-DA|8| |ME-ZA|3","KU-NI-SU|𐄁| |SA-MA|4| |𐄁|PA|𐄁| |DA-RE|16|¹⁄₂| |U-*325-ZA|4| |*301|6| |U-*325-ZA|14| |*305-RU|2|¹⁄₂| |DA-RI-DA|8| |ME-ZA|3","𐙂𐘝𐘲|𐄁| |𐘞𐙁|𐄊| |𐄁|𐘂|𐄁| |𐘀𐘙|𐄐𐄌|𐝆| |𐘉𐙱𐘍|𐄊| |𐙕|𐄌| |𐘉𐙱𐘍|𐄐𐄊𐝫| |𐙙𐘘|𐄈|𐝆| |𐘀𐘭𐘀|𐄎| |𐘋𐘍|𐄉"
"HT10b","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘉𐘠𐄇 𐘀𐘙𐄈 𐘳𐘭𐘅𐄐𐄋 𐙢𐘳𐄌𐝆 𐘾𐘞𐘘𐄌 𐘳𐘅𐘠𐄏𐝃","𐘉𐘠𐄇𐘀𐘙𐄈𐘳 𐘭𐘅𐄐𐄋𐙢𐘳𐄌𐝆 𐘾𐘞𐘘𐄌 𐘳𐘅𐘠𐄏𐝃","U-TI|1| |DA-RE|2| |TA-RI-NA|15| |*312-TA|6|¹⁄₂| |KA-SA-RU|6| |TA-NA-TI|9|¹⁄₄","U-TI|1| |DA-RE|2| |TA-RI-NA|15| |*312-TA|6|¹⁄₂| |KA-SA-RU|6| |TA-NA-TI|9|¹⁄₄","𐘉𐘠|𐄇| |𐘀𐘙|𐄈| |𐘳𐘭𐘅|𐄐𐄋| |𐙢𐘳|𐄌|𐝆| |𐘾𐘞𐘘|𐄌| |𐘳𐘅𐘠|𐄏|𐝃"
"HT11a","Haghia Triada","Tablet","LMIB","HT Scribe 24","Villa Magazine","𐘇𐘘𐘴𐝫𐄁𐝫𐄉 𐘾𐘁𐘅𐄈 𐙮𐘭𐄇 𐙂𐘁𐄐 𐘇𐘲𐘱𐄇 𐙇𐘚𐄉 𐘷𐄐𐄋","𐘇𐘘𐘴𐝫𐄁𐝫 𐄉𐘾𐘁𐘅𐄈𐘇 𐙮𐘭𐄇𐙂𐘁𐄐𐘇 𐘲𐘱𐄇𐙇𐘚 𐄉𐘷𐄐𐄋","A-RU-RA|𐄁|3| |KA-RO-NA|2| |*322-RI|1| |""total""|10| |A-SU-JA|1| |VIR+[?]-I|3| |TA₂|15","A-RU-RA|𐄁|3| |KA-RO-NA|2| |*322-RI|1| |KU-RO|10| |A-SU-JA|1| |VIR+[?]-I|3| |TA₂|15","𐘇𐘘𐘴𐝫|𐄁|𐝫𐄉| |𐘾𐘁𐘅|𐄈| |𐙮𐘭|𐄇| |𐙂𐘁|𐄐| |𐘇𐘲𐘱|𐄇| |𐙇𐘚|𐄉| |𐘷|𐄐𐄋"
"HT11b","Haghia Triada","Tablet","LMIB","HT Scribe 24","Villa Magazine","𐝫𐘦𐘯 𐘘𐘽 𐙅𐘾𐄓 𐘾𐄒 𐘾𐄔 𐘘𐙀𐘅𐘾𐄒 𐘞𐘿𐘭𐄁𐘾𐄒 𐙂𐘁𐄙𐄗","𐝫𐘦𐘯𐘘𐘽 𐙅𐘾𐄓𐘾𐄒 𐘾𐄔𐘘𐙀𐘅 𐘾𐄒𐘞𐘿𐘭𐄁 𐘾𐄒𐙂𐘁 𐄙𐄗","DE-NU| |RU-RA₂| |*86-KA|40| |KA|30| |KA|50| |RU-ZU-NA|KA|30| |SA-QE-RI|𐄁|KA|30| |""total""|180","DE-NU| |RU-RA₂| |*86-KA|40| |KA|30| |KA|50| |RU-ZU-NA|KA|30| |SA-QE-RI|𐄁|KA|30| |KU-RO|180","𐝫𐘦𐘯| |𐘘𐘽| |𐙅𐘾|𐄓| |𐘾|𐄒| |𐘾|𐄔| |𐘘𐙀𐘅|𐘾|𐄒| |𐘞𐘿𐘭|𐄁|𐘾|𐄒| |𐙂𐘁|𐄙𐄗"
"HT12","Haghia Triada","Tablet","LMIB","HT Scribe 11","Villa Magazine","𐘌𐘠𐘀𐘃𐄁𐜉𐄋 𐙘𐄋 𐘿𐘹𐘗𐄁𐚻𐄇 𐘡𐄒 𐛢𐄁𐙈𐄋 𐜚𐄉 𐘝𐄇 𐚼𐝇 𐘀𐘚𐄔","𐘌𐘠𐘀𐘃𐄁 𐜉𐄋𐙘𐄋 𐘿𐘹𐘗𐄁𐚻𐄇 𐘡𐄒𐛢𐄁𐙈 𐄋𐜚𐄉𐘝𐄇 𐚼𐝇𐘀𐘚𐄔","QA-TI-DA-TE|𐄁|olive oil|5| |olive oil|5| |QE-TU-NE|𐄁|liquid?|1| |E|30| |*560|𐄁|talent|5| |cyperus|3| |figs|1| |liquid?|¹⁄₁₆| |""total""?|50","QA-TI-DA-TE|𐄁|OLE+DI|5| |*304|5| |QE-TU-NE|𐄁|QA2+[?]+PU|1| |E|30| |*560|𐄁|*118|5| |CYP+E|3| |NI|1| |QA2+[?]+PU+RE|¹⁄₁₆| |DA-I|50","𐘌𐘠𐘀𐘃|𐄁|𐜉|𐄋| |𐙘|𐄋| |𐘿𐘹𐘗|𐄁|𐚻|𐄇| |𐘡|𐄒| |𐛢|𐄁|𐙈|𐄋| |𐜚|𐄉| |𐘝|𐄇| |𐚼|𐝇| |𐘀𐘚|𐄔"
"HT13","Haghia Triada","Tablet","LMIB","HT Scribe 8","Villa Magazine","𐘾𐘉𐘦𐘳𐙍𐄁𐘃𐄁 𐘙𐘍𐄋𐝫𐝆𐝫 𐘃𐘹𐄔𐄌 𐘃𐘸𐄑𐄍𐝆 𐙂𐙀𐘝𐄐𐄎 𐘀𐘤𐙈𐄐𐄏 𐘚𐘬𐘗𐘤𐄋 𐙂𐘁𐄙𐄒𐝆","𐘾𐘉𐘦𐘳 𐙍𐄁𐘃𐄁𐘙𐘍𐄋𐝫𐝆𐝫 𐘃𐘹𐄔𐄌𐘃𐘸 𐄑𐄍𐝆𐙂𐙀𐘝𐄐𐄎 𐘀𐘤𐙈𐄐𐄏𐘚𐘬 𐘗𐘤𐄋 𐙂𐘁𐄙𐄒𐝆","KA-U-DE-TA|wine|𐄁|TE|𐄁| |RE-ZA|5|¹⁄₂| |TE-TU|56| |TE-KI|27|¹⁄₂| |KU-ZU-NI|18| |DA-SI-*118|19| |I-DU-NE-SI|5| |""total""|130|¹⁄₂","KA-U-DE-TA|VIN|𐄁|TE|𐄁| |RE-ZA|5|¹⁄₂| |TE-TU|56| |TE-KI|27|¹⁄₂| |KU-ZU-NI|18| |DA-SI-*118|19| |I-DU-NE-SI|5| |KU-RO|130|¹⁄₂","𐘾𐘉𐘦𐘳|𐙍|𐄁|𐘃|𐄁| |𐘙𐘍|𐄋𐝫|𐝆𐝫| |𐘃𐘹|𐄔𐄌| |𐘃𐘸|𐄑𐄍|𐝆| |𐙂𐙀𐘝|𐄐𐄎| |𐘀𐘤𐙈|𐄐𐄏| |𐘚𐘬𐘗𐘤|𐄋| |𐙂𐘁|𐄙𐄒|𐝆"
"HT14","Haghia Triada","Tablet","LMIB","HT Scribe 14","Villa Magazine","𐘫𐙍𐄁𐘃𐄁𐙉𐄒 𐜗𐄉 𐜉𐄉 𐙘𐄏 𐙋𐄐𐄉 𐘇𐘜𐘅𐘬𐙉𐄓𐄋 𐜗𐄋 𐜉𐄊 𐙘𐄌 𐙋𐄐𐄊","𐘫𐙍𐄁𐘃𐄁𐙉𐄒𐜗𐄉 𐜉𐄉𐙘𐄏𐙋𐄐𐄉 𐘇𐘜𐘅𐘬𐙉𐄓𐄋 𐜗𐄋𐜉𐄊𐙘𐄌 𐙋𐄐𐄊","PU-VIN|𐄁|TE|𐄁|grain|30| |olive oil|3| |olive oil|3| |olive oil|9| |olives|13| |A-PU₂-NA-DU|grain|45| |olive oil|5| |olive oil|4| |olive oil|6| |olives|14","PU-VIN|𐄁|TE|𐄁|GRA|30| |OLE+MI|3| |OLE+DI|3| |*304|9| |OLIV|13| |A-PU₂-NA-DU|GRA|45| |OLE+MI|5| |OLE+DI|4| |*304|6| |OLIV|14","𐘫𐙍|𐄁|𐘃|𐄁|𐙉|𐄒| |𐜗|𐄉| |𐜉|𐄉| |𐙘|𐄏| |𐙋|𐄐𐄉| |𐘇𐘜𐘅𐘬|𐙉|𐄓𐄋| |𐜗|𐄋| |𐜉|𐄊| |𐙘|𐄌| |𐙋|𐄐𐄊"
"HT15","Haghia Triada","Tablet","LMIB","","Villa Magazine","𐘉𐘟𐘤𐙉 𐘬𐙌𐘇𐄞𐄗𐄊 𐛹𐄝𐄖 𐙓𐄁𐘸𐘁𐄜 𐝫","𐘉𐘟𐘤𐙉𐘬𐙌𐘇 𐄞𐄗𐄊𐛹 𐄝𐄖 𐙓𐄁𐘸𐘁𐄜 𐝫","U-*34-SI|grain| |DU-AROM-A|684| |GRA+L4+L4|570| |*188|𐄁|""owed""|400| |𐝫","U-*34-SI|GRA| |DU-AROM-A|684| |GRA+L4+L4|570| |*188|𐄁|KI-RO|400| |𐝫","𐘉𐘟𐘤|𐙉| |𐘬𐙌𐘇|𐄞𐄗𐄊| |𐛹|𐄝𐄖| |𐙓|𐄁|𐘸𐘁|𐄜| |𐝫"
"HT16","Haghia Triada","Tablet","LMIB","HT Scribe 10","Villa Magazine","𐘾𐙂𐘂𐄁 𐘆𐘅𐘉𐝄 𐄁𐘮𐝁 𐜇𐝃𐝄 𐘞𐘊𐘼𐝇","𐘾𐙂𐘂𐄁𐘆 𐘅𐘉𐝄𐄁𐘮 𐝁𐜇𐝃𐝄 𐘞𐘊𐘼𐝇","KA-KU-PA|𐄁| |DI-NA-U|¹⁄₈| |𐄁|cloth|¹⁄₃| |*188+KU|³⁄₈| |SA-PO|ZE|¹⁄₁₆","KA-KU-PA|𐄁| |DI-NA-U|¹⁄₈| |𐄁|WA|¹⁄₃| |*188+KU|³⁄₈| |SA-PO|ZE|¹⁄₁₆","𐘾𐙂𐘂|𐄁| |𐘆𐘅𐘉|𐝄| |𐄁|𐘮|𐝁| |𐜇|𐝃𐝄| |𐘞𐘊|𐘼|𐝇"
"HT17","Haghia Triada","Tablet","LMIB","HT Scribe 18","Villa Magazine","𐘴󽇫𐘠𐄁𐘃𐄁𐙍𐄒𐄍 𐘞𐘁𐄐 𐘤𐘀𐘙𐄋","𐘴𐙐𐘠𐄁𐘃𐄁𐙍 𐄒𐄍𐘞𐘁𐄐 𐘤𐘀𐘙𐄋","RA-󽇫-TI|𐄁|TE|𐄁|wine|37| |SA-RO|10| |SI-DA-RE|5","RA-󽇫-TI|𐄁|TE|𐄁|VIN|37| |SA-RO|10| |SI-DA-RE|5","𐘴󽇫𐘠|𐄁|𐘃|𐄁|𐙍|𐄒𐄍| |𐘞𐘁|𐄐| |𐘤𐘀𐘙|𐄋"
