SignID,Freq,InitBias,FinalBias
QE,0.006344827586206896,0.6086956521739131,0.3695652173913043
RA₂,0.007172413793103448,0.11538461538461539,0.8076923076923077
U,0.009379310344827587,0.6323529411764706,0.23529411764705882
KI,0.017793103448275862,0.5116279069767442,0.3333333333333333
RO,0.025793103448275862,0.5401069518716578,0.9251336898395722
ZU,0.004413793103448276,0.4375,0.34375
SU,0.007586206896551724,0.3090909090909091,0.43636363636363634
DI,0.015034482758620689,0.42201834862385323,0.3944954128440367
ZA,0.005517241379310344,0.15,0.65
KE,0.002206896551724138,0.25,0.5
KU,0.0423448275862069,0.8436482084690554,0.5993485342019544
PA₃,0.006206896551724138,0.35555555555555557,0.37777777777777777
NU,0.008275862068965517,0.2,0.4166666666666667
A,0.027862068965517243,0.8910891089108911,0.16336633663366337
RA,0.016,0.19827586206896552,0.49137931034482757
NA,0.021793103448275862,0.13924050632911392,0.4240506329113924
RE,0.017241379310344827,0.256,0.592
KA,0.03917241379310345,0.7570422535211268,0.7183098591549296
RU,0.012827586206896552,0.25806451612903225,0.4731182795698925
OLE+U,0.0030344827586206895,1.0,1.0
OLE+A,0.00027586206896551725,1.0,1.0
OLE+E,0.0005517241379310345,1.0,1.0
TA,0.022758620689655173,0.3878787878787879,0.4
𐝫,0.07613793103448276,1.0,1.0
MA,0.016413793103448277,0.37815126050420167,0.36134453781512604
JA,0.023310344827586208,0.4378698224852071,0.44970414201183434
MU,0.0020689655172413794,0.4,0.6
SI,0.03310344827586207,0.6875,0.6416666666666667
TU,0.010068965517241379,0.410958904109589,0.4794520547945205
DA,0.01903448275862069,0.5,0.2318840579710145
*306,0.0030344827586206895,0.8636363636363636,0.45454545454545453
TI,0.015310344827586206,0.22522522522522523,0.5495495495495496
DU,0.010758620689655173,0.358974358974359,0.38461538461538464
RI,0.010620689655172414,0.16883116883116883,0.2597402597402597
TE,0.021517241379310346,0.5064102564102564,0.7307692307692307
PA,0.01406896551724138,0.5294117647058824,0.4019607843137255
PI,0.008,0.3793103448275862,0.29310344827586204
*307,0.001103448275862069,0.75,0.875
WI,0.0030344827586206895,0.5909090909090909,0.45454545454545453
NI,0.018620689655172412,0.6074074074074074,0.7333333333333333
JA+RU,0.00013793103448275863,1.0,1.0
𐝓,0.0008275862068965517,1.0,1.0
*321,0.0005517241379310345,0.0,1.0
O,0.004,0.8620689655172413,0.6551724137931034
NE,0.008,0.22413793103448276,0.7413793103448276
³⁄₄,0.0037241379310344828,1.0,1.0
¹⁄₂,0.016551724137931035,1.0,1.0
WA,0.006620689655172414,0.3333333333333333,0.3125
MI,0.013241379310344827,0.2916666666666667,0.40625
¹⁄₆,0.0038620689655172414,1.0,1.0
SE,0.009241379310344827,0.2537313432835821,0.5671641791044776
I,0.026482758620689655,0.6197916666666666,0.3177083333333333
¹⁄₄,0.00786206896551724,1.0,1.0
SA,0.019172413793103447,0.4676258992805755,0.17266187050359713
VIR+[?],0.005241379310344828,0.9473684210526315,0.8421052631578947
*21F,0.0030344827586206895,0.5909090909090909,0.36363636363636365
*329,0.00027586206896551725,0.0,1.0
JE,0.0023448275862068967,0.47058823529411764,0.6470588235294118
OLE+KI,0.002896551724137931,1.0,1.0
*301,0.03779310344827586,0.8905109489051095,0.8978102189781022
QA,0.006206896551724138,0.6888888888888889,0.15555555555555556
*310,0.001379310344827586,0.1,0.3
PU₂,0.0019310344827586207,0.35714285714285715,0.42857142857142855
*188,0.0023448275862068967,0.8823529411764706,0.6470588235294118
³⁄₈,0.000689655172413793,1.0,1.0
¹⁄₈,0.0015172413793103448,1.0,1.0
*86+'*188',0.00041379310344827585,1.0,1.0
VIN,0.00896551724137931,0.8615384615384616,0.9538461538461539
DE,0.004827586206896552,0.2571428571428571,0.4
PU,0.003310344827586207,0.5416666666666666,0.5416666666666666
*324,0.00041379310344827585,1.0,0.0
AROM,0.001103448275862069,0.125,0.75
*305,0.002758620689655172,0.7,0.85
*325,0.000689655172413793,0.0,0.2
ME,0.00593103448275862,0.18604651162790697,0.6744186046511628
*312,0.001103448275862069,0.875,0.625
*322,0.0005517241379310345,1.0,0.75
TA₂,0.0023448275862068967,0.35294117647058826,0.7647058823529411
*86,0.001793103448275862,0.8461538461538461,0.46153846153846156
OLE+DI,0.0016551724137931034,1.0,1.0
*304,0.0038620689655172414,0.9285714285714286,0.9642857142857143
QA2+[?]+PU,0.001103448275862069,1.0,1.0
E,0.004413793103448276,0.5625,0.65625
*560,0.0005517241379310345,1.0,0.75
*118,0.003586206896551724,0.19230769230769232,0.8076923076923077
CYP+E,0.0019310344827586207,0.9285714285714286,1.0
QA2+[?]+PU+RE,0.00013793103448275863,1.0,1.0
¹⁄₁₆,0.003586206896551724,1.0,1.0
GRA,0.008827586206896552,1.0,0.96875
OLE+MI,0.002758620689655172,0.95,1.0
OLIV,0.003586206896551724,0.9230769230769231,1.0
*34,0.001103448275862069,0.25,0.0
GRA+L4+L4,0.00013793103448275863,1.0,1.0
¹⁄₃,0.003310344827586207,1.0,1.0
*188+KU,0.00027586206896551725,1.0,1.0
PO,0.001103448275862069,0.5,0.125
ZE,0.006482758620689655,1.0,1.0
󽇫,0.00013793103448275863,0.0,0.0
GRA+QE,0.000689655172413793,0.8,1.0
*164,0.0020689655172413794,0.9333333333333333,0.8666666666666667
JU,0.004965517241379311,0.2222222222222222,0.6388888888888888
*21M,0.001103448275862069,1.0,1.0
GRA+L2,0.00013793103448275863,1.0,1.0
*330+DA,0.00013793103448275863,1.0,1.0
CYP,0.00786206896551724,0.9122807017543859,1.0
*308,0.0019310344827586207,0.8571428571428571,1.0
OLE+NE,0.000689655172413793,1.0,1.0
OLE+TU,0.00041379310344827585,1.0,1.0
