,Identical matches,Numbered_strings,Row number
29,"['krn', 'krn', 'krb', 'krc', 'krd', 'krh', 'krk', 'krm', 'krp', 'krs']",kr303,254
30,"['sbt', 'sbt', 'sht', 'sot', 'ant', 'brt', 'bwt', 'byt', 'cht', 'cpt', 'fht', 'frt', 'fwt', 'gwt', 'hbt', 'hlt', 'hnt', 'hpt', 'hwt', 'hyt', 'int', 'kwt', 'mct', 'mdt', 'mrt', 'mwt', 'myt', 'prt']",999302t,257
31,"['krn', 'krn', 'krb', 'krc', 'krd', 'krh', 'krk', 'krm', 'krp', 'krs']",kr056,261
32,"['tp', 'tp', 'kp', 'sp', 'yp', 'ap', 'cp', 'dp', 'gp', 'hp', 'lp', 'np', 'up', 'wp']",341p,273
33,"['tq', 'tq', 'rq', 'pq', 'sq', 'aq', 'cq', 'dq', 'mq', 'qq']",056q,274
34,"['qt', 'qt', 'qr', 'qi', 'qq', 'qm', 'qb', 'qc', 'qf', 'ql', 'qn', 'qs']",q056,275
35,"['rsp', 'rsp', 'rsw']",rs999,292
36,"['wt', 'wt', 'wr', 'wk', 'wm', 'wd', 'wp', 'wb', 'wc', 'wg', 'wh', 'wl', 'wn', 'ws', 'wy']",w312,300
37,"['krn', 'krn', 'krb', 'krc', 'krd', 'krh', 'krk', 'krm', 'krp', 'krs', 'krn', 'krb', 'krc', 'krd', 'krh', 'krk', 'krm', 'krp', 'krs']",kr999,302
38,"['ndw', 'ndw']",nd331,305
39,"['tb', 'tb', 'tc', 'tf', 'tg', 'th', 'tk', 'tl', 'tm', 'tn', 'tp', 'tq', 'tr', 'ts', 'tt', 'tw', 'ty', 'tb', 'tc', 'tf', 'tg', 'th', 'tk', 'tl', 'tm', 'tn', 'tp', 'tq', 'tr', 'ts', 'tt', 'tw', 'ty']",t120,306
40,"['mrt', 'mrt', 'mrg', 'mrh', 'mrk']",mr999,319
41,"['kwt', 'kwt']",k999t,321
42,"['dsr', 'dsr', 'bsr', 'hsr', 'ysr']",999sr,332
43,"['snb', 'snb', 'snh', 'snk']",sn999,339
44,"['cwy', 'cwy', 'dwy', 'gwy', 'hwy', 'lwy', 'nwy', 'qwy', 'twy']",999wy,348
45,"['qpc', 'qpc']",qp709,353
46,"['mtk', 'mtk', 'mtr']",mt579,354
47,"['khn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn', 'khn', 'knn', 'krn', 'ksn', 'ktn', 'kyn']",k999n,362
48,"['rmk', 'rmk', 'rmn']",rm999,363
49,"['tmb', 'tmb', 'tmf', 'tms']",tm999,364
