Numbered_Words,Matched_Words
302d,ad
131d,ad
188d,ad
131w,aw
301w,aw
d013,do
012t999,eti
et120,eti
m131,ma
m999,ma
m131,me
m999,me
n120,ne
n905,ne
n120,ni
n905,ni
n120,nu
n905,nu
t999d,tod
t301,tu
t120,tu
t021,tu
t602,tu
t999,tu
t123,tu
y021,yo
y345,yo
